Disease,Medicine1,Medicine2,Medicine3
Malaria,Chloroquine,Quinine,Artemether
Diabetes,Metformin,Insulin,Glibenclamide
Common Cold,Paracetamol,Cetirizine,Ibuprofen
COVID-19,Remdesivir,Dexamethasone,Ivermectin
Hypertension,Lisinopril,Amlodipine,Hydrochlorothiazide
Typhoid,Ciprofloxacin,Azithromycin,Amoxicillin
Gastric Ulcer,Omeprazole,Ranitidine,Esomeprazole
Anemia,Iron Supplements,Folic Acid,Vitamin B12
Asthma,Salbutamol,Theophylline,Budesonide
Dengue,Acetaminophen,Oral Rehydration,Platelet Transfusion
Pneumonia,Amoxicillin,Azithromycin,Ceftriaxone
Migraine,Sumatriptan,Naproxen,Amitriptyline
Arthritis,Ibuprofen,Naproxen,Methotrexate
Diarrhea,Loperamide,ORS,Zinc Supplements
Bronchitis,Amoxicillin,Erythromycin,Benzonatate
